Frame,Timestamp,unity_x,unity_y,unity_z,X(accel),Y(accel),Z(accel),Angles,loadcell(N),,
147,2.43333,1.142821897,0.279391159,-0.942916825,1.276274042,-5.238022092,-1.308729442,45.71932583,0.267991721,,
148,2.45,1.140228827,0.266839033,-0.949751561,1.277051963,-5.223970603,-1.302852664,45.57297542,0.267991721,,
149,2.46667,1.13614133,0.251851543,-0.956715445,1.271756996,-5.213127778,-1.298593033,45.59818147,0.022822314,,
150,2.48333,1.132491698,0.254378649,-0.943179291,1.266532161,-5.201428132,-1.295408887,45.64577774,0.092870716,,
151,2.5,1.128903783,0.259374479,-0.926753608,1.261376073,-5.189385504,-1.29277282,45.70427001,0.23296752,,
152,2.51667,1.132904314,0.268740617,-0.927213208,1.2582686,-5.172563513,-1.290171211,45.71721901,0.23296752,,
153,2.53333,1.137990977,0.278732277,-0.930089595,1.255201484,-5.156450462,-1.286104566,45.6967004,0.303015922,,
154,2.55,1.133045113,0.232018349,-0.937460131,1.253151768,-5.142981862,-1.282586779,45.6650631,-0.012201887,,
155,2.56667,1.126641368,0.17706422,-0.945483736,1.252585667,-5.129201753,-1.276648081,45.54507938,0.162919118,,
156,2.58333,1.134287967,0.217889908,-0.939522961,1.251544093,-5.113672784,-1.271275096,45.44810193,0.057846515,,
157,2.6,1.144007127,0.272844037,-0.931499356,1.252434221,-5.09881844,-1.268404919,45.36299076,0.162919118,,
158,2.61667,1.142428539,0.275654712,-0.929862006,1.247593798,-5.084625992,-1.266054741,45.42078878,0.267991721,,
159,2.63333,1.139158541,0.270658882,-0.929180757,1.239024806,-5.073915508,-1.262772196,45.54384282,0.022822314,,
160,2.65,1.135375995,0.278673895,-0.94302171,1.229150185,-5.062868926,-1.260008313,45.71026009,-0.222347094,,
161,2.66667,1.131515581,0.288665555,-0.959068921,1.221736407,-5.05428998,-1.260128165,45.886233,-1.062927925,,
162,2.68333,1.128835696,0.281342786,-0.956752344,1.215808346,-5.042572558,-1.257414416,45.96377384,-0.327419697,,
163,2.7,1.126337781,0.271351126,-0.951605125,1.210876742,-5.020405022,-1.254264618,46.00833386,-0.607613307,,
164,2.71667,1.125646524,0.27,-0.945737862,1.21013845,-5.001710604,-1.2520856,45.97601279,-0.187322893,,
165,2.73333,1.125237774,0.27,-0.939758005,1.210322083,-4.98870162,-1.246688397,45.84797529,-0.3974681,,
